id	name	formula	BioCyc	SEED Compound	UniPathway Compound	KEGG Compound	BioPath Molecule	MetaNetX (MNX) Chemical	Reactome	Human Metabolome Database	UM-BBD	LipidMaps	
10fthf_c	10-Formyltetrahydrofolate	C20H21N7O7	META:10-FORMYL-THF	cpd00201	UPC00234	C00234	10-Formyl-5,6,7,8-tetrahydrofolate	MNXM237	419151;5389850	HMDB00972			
adp_c	ADP	C10H12N5O10P2	META:ADP;META:ADP-GROUP	cpd00008	UPC00008	C00008;G11113	Adenosine-5-prime-diphosphate	MNXM7	113581;113582;114565;211606;29370;5632457	HMDB01341			
atp_c	ATP	C10H12N5O13P3	META:ATP	cpd00002	UPC00002	C00002;D08646	Adenosine-5-prime-triphosphate	MNXM3	211579;389573	HMDB00538			
glu__L_c	L-Glutamate	C5H8NO4	META:GLT	cpd00023	UPC00025	C00025;D00007	L-Glutamate	MNXM89557	113552;29404;428614	HMDB00148			
pi_c	Phosphate	HPO4;HO4P	META:CPD-16459;META:PHOSPHATE-GROUP;META:Pi	cpd00009	UPC00009	C00009;D05467	Phosphate;Phosphate_(protonated)	MNXM9	109277;113548;113551	HMDB00973;HMDB01429;HMDB02105;HMDB02142;HMDB05947	c0693		
12dgr120_c	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	C27H52O5						MNXM4939					
12dgr120_p	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	C27H52O5						MNXM4939					
12dgr140_c	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	C31H60O5						MNXM146479					
12dgr141_c	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	C31H56O5						MNXM4940					
12dgr141_p	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)	C31H56O5						MNXM4940					
12dgr160_c	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)	C35H68O5		cpd15309				MNXM3132					
12dgr161_c	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	C35H64O5						MNXM3774					
12dgr161_p	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	C35H64O5						MNXM3774					
12dgr181_c	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)	C39H72O5						MNXM3775					
h2o_c	H2O	H2O	META:CPD-15815;META:HYDROXYL-GROUP;META:OH;META:OXONIUM;META:WATER	cpd00001;cpd15275	UPC00001;UPC01328	C00001;C01328;D00001;D03703;D06322	OH-;Water	MNXM2	109276;113518;113519;113521;141343;1605715;189422;2022884;29356;351603;5668574	HMDB01039;HMDB02111			
ppal_c	Propanal	C3H6O	META:CPD-665	cpd00371		C00479		MNXM821		HMDB03366	c0207		
12ppd__S_c	(S)-Propane-1,2-diol	C3H8O2	META:PROPANE-1-2-DIOL			C02917		MNXM1255		HMDB06213			
glc__D_c	D-Glucose	C6H12O6	META:Glucopyranose		UPC00031	C00031;D00009		MNXM41		HMDB00122;HMDB06564	c1564		
glc__D_e	D-Glucose	C6H12O6	META:Glucopyranose		UPC00031	C00031;D00009		MNXM41		HMDB00122;HMDB06564	c1564		
h2o_e	H2O	H2O	META:CPD-15815;META:HYDROXYL-GROUP;META:OH;META:OXONIUM;META:WATER	cpd00001;cpd15275	UPC00001;UPC01328	C00001;C01328;D00001;D03703;D06322	OH-;Water	MNXM2	109276;113518;113519;113521;141343;1605715;189422;2022884;29356;351603;5668574	HMDB01039;HMDB02111			
h2o2_c	Hydrogen peroxide	H2O2	META:HYDROGEN-PEROXIDE	cpd00025	UPC00027	C00027;D00008	Hydrogen_peroxide	MNXM22	113575;1614617;189481;29408;351629	HMDB03125;HMDB06491			
nh4_c	Ammonium	H4N;NH4		cpd00013				MNXM84					
o2_c	O2	O2	META:OXYGEN-MOLECULE	cpd00007	UPC00007	C00007;D00003	Oxygen	MNXM4	113533;113534;113535;113685;1236709;189461;29368;351593;352327;5668566	HMDB01377			
h_c	H+	H	META:PROTON	cpd00067	UPC00080	C00080	Proton	MNXM1	113529;1470067;156540;163953;193465;194688;2000349;2872447;351626;372511;374900;425969;425978;425999;427899;428040;428548;5668577;70106;74722	HMDB59597			
udp_c	UDP	C9H11N2O12P2	META:UDP;META:UDP-GROUP	cpd00014	UPC00015	C00015;G10619	Uridine-5-prime-diphosphate	MNXM17	110096;111814;158602;205687	HMDB00295			
udpg_c	UDPglucose	C15H22N2O17P2	META:CPD-12575	cpd00026	UPC00029	C00029;G10608	UDP-D-Glucose	MNXM52	173594;29410;744227	HMDB60079			
nad_c	Nicotinamide adenine dinucleotide	C21H26N7O14P2	META:CPD-16008;META:NAD	cpd00003	UPC00003	C00003;D00002	NAD	MNXM8		HMDB00902			
nadh_c	Nicotinamide adenine dinucleotide - reduced	C21H27N7O14P2	META:NADH	cpd00004	UPC00004	C00004	NADH	MNXM10	192305;194697;29362;73473	HMDB01487			
coa_c	Coenzyme A	C21H32N7O16P3S	META:CO-A;META:COA-GROUP	cpd00010	UPC00010	C00010	CoA-SH	MNXM12	162743;193514;2485002;29374;5490263;76194	HMDB01423	c0919		
nadp_c	Nicotinamide adenine dinucleotide phosphate	C21H25N7O17P3	META:CPD-16007;META:NADP;META:NAD-P-OR-NOP	cpd00006	UPC00006	C00006	NADP	MNXM5	113563;113564;194668;2000348;29366;351628;389556;5623650	HMDB00217			
nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	META:NADH-P-OR-NOP;META:NADPH	cpd00005	UPC00005	C00005	NADPH	MNXM6	113600;113601;113602;194725;2000347;29364;351627;5623644	HMDB00221;HMDB00799;HMDB06341			
23camp_e	2',3'-Cyclic AMP	C10H11N5O6P	META:CPD-3707	cpd01570		C02353		MNXM2598		HMDB11616			
23camp_p	2',3'-Cyclic AMP	C10H11N5O6P	META:CPD-3707	cpd01570		C02353		MNXM2598		HMDB11616			
23ccmp_e	2',3'-Cyclic CMP	C9H11N3O7P	META:CPD-3713	cpd01571		C02354		MNXM3148		HMDB11691			
23ccmp_p	2',3'-Cyclic CMP	C9H11N3O7P	META:CPD-3713	cpd01571		C02354		MNXM3148		HMDB11691			
23cgmp_e	2',3'-Cyclic GMP	C10H11N5O7P	META:CPD-3709	cpd03702		C06194		MNXM3149		HMDB11629			
23cgmp_p	2',3'-Cyclic GMP	C10H11N5O7P	META:CPD-3709	cpd03702		C06194		MNXM3149		HMDB11629			
3amp_c	3'-AMP	C10H12N5O7P	META:CPD-3706	cpd00988		C01367		MNXM1985		HMDB03540;HMDB06550			
3ump_c	3'-UMP	C9H11N2O9P	META:CPD-3724	cpd00989		C01368		MNXM2184		HMDB60282			
3cmp_c	3'-cmp	C9H12N3O8P	META:CPD-3711	cpd03454		C05822		MNXM2182					
3gmp_c	3'-GMP	C10H12N5O8P	META:CPD-3708	cpd03701		C06193		MNXM2183					
23cump_e	2',3'-Cyclic UMP	C9H10N2O8P	META:CPD-3725	cpd01572		C02355		MNXM3150		HMDB11640			
23cump_p	2',3'-Cyclic UMP	C9H10N2O8P	META:CPD-3725	cpd01572		C02355		MNXM3150		HMDB11640			
h_p	H+	H	META:PROTON	cpd00067	UPC00080	C00080	Proton	MNXM1	113529;1470067;156540;163953;193465;194688;2000349;2872447;351626;372511;374900;425969;425978;425999;427899;428040;428548;5668577;70106;74722	HMDB59597			
23dhmb_c	(R)-2,3-Dihydroxy-3-methylbutanoate	C5H9O4	META:CPD-13357	cpd02498	UPC04272	C04272	2,3-Dihydroxyisovalerate	MNXM114097		HMDB12141		LMFA01050453	
23dhmp_c	(R)-2,3-Dihydroxy-3-methylpentanoate	C6H11O4	META:1-KETO-2-METHYLVALERATE	cpd02535	UPC06007	C04104;C06007	2,3-Dihydroxy-3-methylvalerate	MNXM1202		HMDB12140		LMFA01050452;LMFA01050469	
dkmpp_c	2,3-diketo-5-methylthio-1-phosphopentane	C6H9O6PS						MNXM91105					
3ump_p	3'-UMP	C9H11N2O9P	META:CPD-3724	cpd00989		C01368		MNXM2184		HMDB60282			
h2o_p	H2O	H2O	META:CPD-15815;META:HYDROXYL-GROUP;META:OH;META:OXONIUM;META:WATER	cpd00001;cpd15275	UPC00001;UPC01328	C00001;C01328;D00001;D03703;D06322	OH-;Water	MNXM2	109276;113518;113519;113521;141343;1605715;189422;2022884;29356;351603;5668574	HMDB01039;HMDB02111			
3cmp_p	3'-cmp	C9H12N3O8P	META:CPD-3711	cpd03454		C05822		MNXM2182					
3amp_p	3'-AMP	C10H12N5O7P	META:CPD-3706	cpd00988		C01367		MNXM1985		HMDB03540;HMDB06550			
3gmp_p	3'-GMP	C10H12N5O8P	META:CPD-3708	cpd03701		C06193		MNXM2183					
23dhdp_c	2,3-Dihydrodipicolinate	C7H5NO4	META:2-3-DIHYDRODIPICOLINATE	cpd02120	UPC03340	C03340	2,3-Dihydrodipicolinate	MNXM807		HMDB12247			
2agpe120_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	META:CPD0-2178					MNXM34808					
2agpe120_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	C17H36NO7P1	META:CPD0-2178					MNXM34808					
2agpe141_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P1						MNXM3447					
2agpe141_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	C19H38NO7P1						MNXM3447					
2agpe160_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	META:CPD0-2177	cpd15339				MNXM34810		HMDB11473		LMGP02050036	
2agpe160_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	META:CPD0-2177	cpd15339				MNXM34810		HMDB11473		LMGP02050036	
2agpe161_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P1						MNXM3448					
2agpe161_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)	C21H42NO7P1						MNXM3448					
2agpe180_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P1	META:CPD0-2223	cpd15341				MNXM34811		HMDB11129		LMGP02050038	
2agpe180_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)	C23H48NO7P1	META:CPD0-2223	cpd15341				MNXM34811		HMDB11129		LMGP02050038	
2agpe181_c	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1						MNXM3449					
2agpe181_p	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1						MNXM3449					
amp_c	AMP	C10H12N5O7P	META:AMP;META:AMP-GROUP;META:CPD0-1139	cpd00018	UPC00020	C00020;D02769;D06299	Adenosine-5-prime-phosphate	MNXM14	164121;389620	HMDB00045			
ddca_c	Dodecanoate (n-C12:0)	C12H23O2	META:DODECANOATE	cpd01741		C02679;D10714		MNXM402	33549	HMDB00638	c0566	LMFA01010012	
pe120_c	Phosphatidylethanolamine (didodecanoyl, n-C12:0)	C29H58N1O8P1	META:CPD-17088	cpd15528				MNXM71176				LMGP02010098	
ppi_c	Diphosphate	HO7P2;P2HO7	META:PPI;META:PYROPHOSPHATE-GROUP	cpd00012	UPC00013	C00013	Pyrophosphate;Pyrophosphate_(protonated)	MNXM11	111294;113541;113542;159450;2046049;389593	HMDB00250			
