taxid,species_id,assembly,superkingdom,kingdom,phylum,class,order,family,species,strain_name,genus_original,genus_id,genus
9,9,GCF_900128725.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera aphidicola,strain=BCifornacula,Buchnera,32199.0,Buchnera
24,24,GCF_003044255.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella putrefaciens,strain=WS13,Shewanella,22.0,Shewanella
24,24,GCF_009730575.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella putrefaciens,strain=FDAARGOS_681,Shewanella,22.0,Shewanella
24,24,GCF_016406305.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella putrefaciens,strain=CGMCC-1.6515,Shewanella,22.0,Shewanella
24,24,GCF_016406325.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella putrefaciens,strain=ATCC 8071,Shewanella,22.0,Shewanella
24,24,GCF_017068195.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella putrefaciens,strain=XY07,Shewanella,22.0,Shewanella
24,24,GCF_900636665.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella putrefaciens,strain=NCTC12093,Shewanella,22.0,Shewanella
34,34,GCF_006400955.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=GH3.5.6c2,Myxococcus,32.0,Myxococcus
34,34,GCF_006401215.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=GH5.1.9c20,Myxococcus,32.0,Myxococcus
34,34,GCF_006401635.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=KF3.2.8c11,Myxococcus,32.0,Myxococcus
34,34,GCF_006402015.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus,strain=KF4.3.9c1,Myxococcus,32.0,Myxococcus
