reaction_nm	reaction_des	reaction_idx
CSNtex	Cytosine transport via diffusion (extracellular to periplasm)	166
H2Otex	H2O transport via diffusion (extracellular to periplasm)	280
H2Stex	H2s transport via diffusion (extracellular to periplasm)	283
NH4tex	Ammonia transport via diffusion (extracellular to periplasm)	370
ORNtex	Ornithine transport via diffusion (extracellular to periplasm)	385
PROGLYtex	L-Prolinylglycine transport via diffusion (extracellular to periplasm)	453
PTRCtex	Putrescine transport via diffusion (extracellular to periplasm)	460
TETtex	Tetrathionate transport via diffusion extracellular to periplasm 	498
TYRPtex	Phopho-L-tyrosine transport via diffusion (extracellular to periplasm)	524
12PPDRtex	(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	595
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	597
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	598
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	599
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	600
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	613
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	614
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	615
3MBtex	3-methylbutanoic acid transport via diffusion (extracellular to periplasm)	619
3PEPTtex	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	626
3UMPtex	3UMP transport via diffusion (extracellular to periplasm)	627
4HOXPACDtex	4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	630
4PEPTtex	LalaDgluMdapDala (pentapeptide) transport via diffusion (extracellular to periplasm)	632
5MTRtex	5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm)	633
ABUTtex	4-aminobutyrate transport via diffusion (extracellular to periplasm)	637
ACACtex	Acetoacetate transport via diffusion (extracellular to periplasm)	648
ACALDtex	Acetaldehyde transport via diffusion (extracellular to periplasm)	650
ACGAL1Ptex	N-acetyl-D-galactosamine 1-phosphate transport via diffusion (extracellular to periplasm)	652
ACGAM1Ptex	N-acetyl-D-glucosamine 1-phosphate transport via diffusion (extracellular to periplasm)	653
ACGAtex	N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm)	657
ACMANAtex	N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm)	663
ACMUMtex	N-acetylmuramate transport via diffusion (extracellular to periplasm)	665
ACSERtex	O-Acetyl-L-serine transport via diffusion (extracellular to periplasm)	680
ACtex	Acetate transport via diffusion (extracellular to periplasm)	685
ADEtex	Adenine transport via diffusion (extracellular to periplasm)	693
ADNtex	Adenosine transport via diffusion (extracellular to periplasm)	697
AGMtex	Agmatine transport via diffusion (extracellular to periplasm)	712
ALAALAtex	D-alanyl-D-alanine (DalaDala) transport via diffusion (extracellular to periplasm)	724
ALAtex	L-alanine transport via diffusion (extracellular to periplasm)	730
AMPtex	AMP transport via diffusion (extracellular to periplasm)	752
ANHGMtex	GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm)	753
ARBtex	L-arabinose transport via diffusion (extracellular to periplasm)	770
ARGtex	L-arginine transport via diffusion (extracellular to periplasm)	777
ASNtex	L-asparagine transport via diffusion (extracellular to periplasm)	782
ASO3tex	Arsenite transport via diffusion (extracellular to periplasm)	784
ASO4tex	Arsenate transporter (extracellular to periplasm)	786
ASPtex	L-aspartate transport via diffusion (extracellular to periplasm)	798
BALAtex	Beta-alanine transport via diffusion (extracellular to periplasm)	805
BUTtex	Butyrate transport via diffusion (extracellular to periplasm)	816
CA2tex	Calcium (Ca+2) transport via diffusion (extracellular to periplasm)	823
CD2tex	Cadmium (Cd+2) transport via diffusion (extracellular to periplasm)	832
CGLYtex	L-Cysteinylglycine transport via diffusion (extracellular to periplasm)	836
CHLtex	Choline transport via diffusion (extracellular to periplasm)	840
CHTBStex	Chitobiose transport via diffusion (extracellular to periplasm)	845
CITtex	Citrate transport via diffusion (extracellular to periplasm)	847
CLIPAabctex	Cold lipid A transport via ABC system (periplasm to extracellular)	848
CLtex	Chloride (Cl-1) transport via diffusion (extracellular to periplasm)	850
CMPtex	CMP transport via diffusion (extracellular to periplasm)	855
CMtex	Chloramphenicol transport via diffusion (extracellular to periplasm)	856
CO2tex	CO2 transport via diffusion (extracellular to periplasm)	858
COBALT2tex	Cobalt (Co+2) transport via diffusion (extracellular to periplasm)	862
COLIPAabctex	Core oligosaccharide lipid A transport via ABC system (periplasm to extracellular)	866
CU2tex	Copper (Cu+2) transport via diffusion (extracellular to periplasm)	877
CYANtex	Cyanide transport via diffusion (extracellular to periplasm)	880
CYNTtex	Cyanate transport via diffusion (extracellular to periplasm)	883
CYStex	L-cysteine transport via diffusion (extracellular to periplasm)	892
CYTDtex	Cytidine transport via diffusion (extracellular to periplasm)	904
DADNtex	Deoxyadenosine transport via diffusion (extracellular to periplasm)	909
DALAtex	D-Alanine transport via diffusion (extracellular to periplasm)	914
DAMPtex	DAMP transport via diffusion (extracellular to periplasm)	915
DARBtex	D-arabinose transport via diffusion (extracellular to periplasm)	917
DCAtex	Decanoate transport via diffusion (extracellular to periplasm)	929
DCMPtex	DCMP transport via diffusion (extracellular to periplasm)	931
DCYTtex	Deoxycytidine transport via diffusion (extracellular to periplasm)	935
DDCAtexi	Fatty acid (dodecanoate) transport via facilitated irreversible diffusion (extracellular to periplasm)	936
DGMPtex	DGMP transport via diffusion (extracellular to periplasm)	940
DGSNtex	Deoxyguanosine transport via diffusion (extracellular to periplasm)	941
DIMPtex	DIMP transport via diffusion (extracellular to periplasm)	958
DINStex	Deoxyinosine transport via diffusion (extracellular to periplasm)	959
DMSOtex	Dimethyl sulfoxide transport via diffusion (extracellular to periplasm)	963
DMStex	Dimethyl sulfide transport via diffusion (extracellular to periplasm)	964
DOXRBCNtex	Doxorubicin transport via diffusion (extracellular to periplasm)	967
DTMPtex	DTMP transport via diffusion (extracellular to periplasm)	972
DUMPtex	DUMP transport via diffusion (extracellular to periplasm)	973
DURItex	Deoxyuridine transport via diffusion (extracellular to periplasm)	975
ETOHtex	Ethanol transport via diffusion (extracellular to periplasm)	992
FALDtex	Formaldehyde transport via diffusion (extracellular to periplasm)	1012
FE2tex	Iron (II) transport via diffusion (extracellular to periplasm)	1039
FE3tex	Iron (III) transport via diffusion (extracellular to periplasm)	1046
FEOXAMUtex	Ferroxamine (minus Fe3) secretion (to extracellular)	1058
FOAMtex	Formamide transport via diffusion extracellular to periplasm 	1069
FORtex	Formate transport via diffusion (extracellular to periplasm)	1075
FRUtex	D-fructose transport via diffusion (extracellular to periplasm)	1086
FUMtex	Fumarate transport via diffusion (extracellular to periplasm)	1093
