taxid,species_id,assembly,superkingdom,kingdom,phylum,class,order,family,genus,species,strain_name
9,9,GCF_900128725.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,strain=BCifornacula
24,24,GCF_003044255.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,strain=WS13
24,24,GCF_009730575.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,strain=FDAARGOS_681
24,24,GCF_016406305.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,strain=CGMCC-1.6515
24,24,GCF_016406325.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,strain=ATCC 8071
24,24,GCF_017068195.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,strain=XY07
24,24,GCF_900636665.1,Bacteria,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,strain=NCTC12093
34,34,GCF_006400955.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=GH3.5.6c2
34,34,GCF_006401215.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=GH5.1.9c20
34,34,GCF_006401635.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=KF3.2.8c11
34,34,GCF_006402015.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=KF4.3.9c1
34,34,GCF_006402415.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=MC3.3.5c16
34,34,GCF_006402735.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=MC3.5.9c15
34,34,GCF_015775755.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=DK1622::pDPO-Mxn116-Pvan-Tpase
34,34,GCF_016698685.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,strain=e-3-1
35,35,GCF_000219105.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus macrosporus,strain=HW-1
43,43,GCF_002305875.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,strain=DSM 52655
48,48,GCF_001027285.1,Bacteria,,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium gephyra,strain=DSM 2261
